localidade,uf,cep,tipo,nome,ch_bai,bairro,ch_loc,tip_log,prefixo,cxa_pos,endlimpo,endereco,descricao,logradouro,complemento
AGUIAR,PB,58778000,<blank>,<blank>,0,<blank>,4849,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGUIARNOPOLIS,TO,77908000,<blank>,<blank>,0,<blank>,9792,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGULHA (FERNANDO PRESTES),SP,15945000,<blank>,<blank>,0,<blank>,8863,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AGULHAS NEGRAS,RJ,0,<blank>,<blank>,0,<blank>,6842,0,<blank>,0,CidadeDeCEPUnico,VER > RESENDE,Cidade De CEP Unico,<blank>,<blank>
AGUTI (NOVA TRENTO),SC,88280000,<blank>,<blank>,0,<blank>,8329,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIMORES,MG,35200000,<blank>,<blank>,0,<blank>,2640,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AINHUMAS (RONDONOPOLIS),MT,78751000,<blank>,<blank>,0,<blank>,4278,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIQUARA,BA,45220000,<blank>,<blank>,0,<blank>,341,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIRI (FLORESTA),PE,56410000,<blank>,<blank>,0,<blank>,5142,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIRITUBA (SAO JOSE DO CALCADO),ES,29477000,<blank>,<blank>,0,<blank>,1802,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIUA (MASSAPE),CE,62143000,<blank>,<blank>,0,<blank>,1130,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIUABA,CE,63575000,<blank>,<blank>,0,<blank>,1131,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIURE (GRAO PARA),SC,88892000,<blank>,<blank>,0,<blank>,8330,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AIURUOCA,MG,37450000,<blank>,<blank>,0,<blank>,2641,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
AJAPI,SP,0,<blank>,<blank>,0,<blank>,8864,0,<blank>,0,CidadeDeCEPUnico,VER > RIO CLARO,Cidade De CEP Unico,<blank>,<blank>
AJURICABA,RS,98750000,<blank>,<blank>,0,<blank>,7393,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOA,MG,37458000,<blank>,<blank>,0,<blank>,2642,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOA GRANDE,PB,58388000,<blank>,<blank>,0,<blank>,4850,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOA NOVA,PB,58125000,<blank>,<blank>,0,<blank>,4851,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOINHA,PB,58390000,<blank>,<blank>,0,<blank>,4852,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOINHA,PE,55260000,<blank>,<blank>,0,<blank>,5143,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOINHA (ARARIPE),CE,63174000,<blank>,<blank>,0,<blank>,1132,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOINHA (PARAIPABA),CE,62686000,<blank>,<blank>,0,<blank>,1133,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAGOINHA DO PIAUI,PI,64655000,<blank>,<blank>,0,<blank>,5511,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAMBARI,SP,18220000,<blank>,<blank>,0,<blank>,8865,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALAZANS (IPUEIRAS),CE,62249000,<blank>,<blank>,0,<blank>,13374,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALBARDAO (RIO PARDO),RS,96670000,<blank>,<blank>,0,<blank>,7394,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALBERTINA,MG,37596000,<blank>,<blank>,0,<blank>,2643,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALBERTO ISAACSON (MARTINHO CAMPOS),MG,35608000,<blank>,<blank>,0,<blank>,2644,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALBERTO MOREIRA (BARRETOS),SP,14788000,<blank>,<blank>,0,<blank>,8866,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALBERTOS (FORMIGA),MG,35576000,<blank>,<blank>,0,<blank>,2645,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALBUQUERQUE (CORUMBA),MS,79362000,<blank>,<blank>,0,<blank>,4104,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALBUQUERQUE NE (SERTANIA),PE,56610000,<blank>,<blank>,0,<blank>,5144,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALCANTARA,MA,65250000,<blank>,<blank>,0,<blank>,2372,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALCANTARAS,CE,62120000,<blank>,<blank>,0,<blank>,1134,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALCANTIL,PB,58460000,<blank>,<blank>,0,<blank>,4853,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALCANTILADO (GUIRATINGA),MT,78762000,<blank>,<blank>,0,<blank>,4279,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALCINOPOLIS,MS,79530000,<blank>,<blank>,0,<blank>,4105,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALCOBACA,BA,45910000,<blank>,<blank>,0,<blank>,343,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALDEIA,SP,0,<blank>,<blank>,0,<blank>,8867,0,<blank>,0,CidadeDeCEPUnico,VER > BARUERI,Cidade De CEP Unico,<blank>,<blank>
ALDEIA (CONSELHEIRO PENA),MG,35245000,<blank>,<blank>,0,<blank>,2646,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALDEIA DE CARAPICUIBA,SP,0,<blank>,<blank>,0,<blank>,8868,0,<blank>,0,CidadeDeCEPUnico,VER > CARAPICUIBA,Cidade De CEP Unico,<blank>,<blank>
ALDEIAS ALTAS,MA,65610000,<blank>,<blank>,0,<blank>,2373,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALECRIM,RS,98950000,<blank>,<blank>,0,<blank>,7395,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALECRIM (CURIUVA),PR,84284000,<blank>,<blank>,0,<blank>,5744,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALECRIM (PAO DE ACUCAR),AL,57405000,<blank>,<blank>,0,<blank>,25,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEGRE,ES,29500000,<blank>,<blank>,0,<blank>,1803,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEGRE (CONDEUBA),BA,46203000,<blank>,<blank>,0,<blank>,344,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEGRE (COROMANDEL),MG,38560000,<blank>,<blank>,0,<blank>,2647,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEGRETE DO PIAUI,PI,64675000,<blank>,<blank>,0,<blank>,5512,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEGRIA,RS,98905000,<blank>,<blank>,0,<blank>,7397,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEGRIA (SIMONESIA),MG,36935000,<blank>,<blank>,0,<blank>,2648,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEM PARAIBA,MG,36660000,<blank>,<blank>,0,<blank>,2649,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALENQUER,PA,68200000,<blank>,<blank>,0,<blank>,4529,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEXANDRA (PARANAGUA),PR,83250000,<blank>,<blank>,0,<blank>,5745,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEXANDRIA,RN,59965000,<blank>,<blank>,0,<blank>,7128,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEXANDRITA (ITURAMA),MG,38282000,<blank>,<blank>,0,<blank>,2650,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALEXANIA,GO,72930000,<blank>,<blank>,0,<blank>,2056,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALFREDO BRENNER (IBIRUBA),RS,98210000,<blank>,<blank>,0,<blank>,7398,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALFREDO CHAVES,ES,29240000,<blank>,<blank>,0,<blank>,1804,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALFREDO GUEDES (LENCOIS PAULISTA),SP,18688000,<blank>,<blank>,0,<blank>,8869,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALFREDO MARCONDES,SP,19180000,<blank>,<blank>,0,<blank>,8870,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALFREDO VASCONCELOS,MG,36272000,<blank>,<blank>,0,<blank>,2652,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALFREDO WAGNER,SC,88450000,<blank>,<blank>,0,<blank>,8331,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALGODAO (IBIRATAIA),BA,45582000,<blank>,<blank>,0,<blank>,345,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALGODAO DE JANDAIRA,PB,58399000,<blank>,<blank>,0,<blank>,4854,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALGODOAL (MARACANA),PA,68712000,<blank>,<blank>,0,<blank>,4530,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALGODOES (QUIJINGUE),BA,48832000,<blank>,<blank>,0,<blank>,346,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALGODOES (QUITERIANOPOLIS),CE,63655000,<blank>,<blank>,0,<blank>,1135,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALGODOES (SERTANIA),PE,56625000,<blank>,<blank>,0,<blank>,5145,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALHANDRA,PB,58320000,<blank>,<blank>,0,<blank>,4855,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALIANCA,PE,55890000,<blank>,<blank>,0,<blank>,5146,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALIANCA DO TOCANTINS,TO,77455000,<blank>,<blank>,0,<blank>,9793,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMADINA,BA,45640000,<blank>,<blank>,0,<blank>,347,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMAS,TO,77310000,<blank>,<blank>,0,<blank>,9794,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMEIDA (JABOTICATUBAS),MG,35835000,<blank>,<blank>,0,<blank>,2653,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMEIDAS (CONSELHEIRO LAFAIETE),MG,36409200,<blank>,<blank>,0,<blank>,14833,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMEIRIM,PA,68230000,<blank>,<blank>,0,<blank>,4531,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMENARA,MG,39900000,<blank>,<blank>,0,<blank>,2654,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMINO AFONSO,RN,59760000,<blank>,<blank>,0,<blank>,7129,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMIRANTE TAMANDARE DO SUL,RS,99523000,<blank>,<blank>,0,<blank>,7399,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMOCO (BRAGANCA),PA,68608000,<blank>,<blank>,0,<blank>,4532,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALMOFALA (ITAREMA),CE,62592000,<blank>,<blank>,0,<blank>,1136,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALOANDIA,GO,75615000,<blank>,<blank>,0,<blank>,2057,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALPERCATA,MG,35138000,<blank>,<blank>,0,<blank>,2655,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALPESTRE,RS,98480000,<blank>,<blank>,0,<blank>,7400,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALPINOPOLIS,MG,37940000,<blank>,<blank>,0,<blank>,2656,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTA FLORESTA,MT,78580000,<blank>,<blank>,0,<blank>,4280,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTA FLORESTA D OESTE,RO,76954000,<blank>,<blank>,0,<blank>,7312,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTA PARA (SANTAREM),PA,68112000,<blank>,<blank>,0,<blank>,4533,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTAIR,SP,15430000,<blank>,<blank>,0,<blank>,8871,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTAMIRA DO MARANHAO,MA,65310000,<blank>,<blank>,0,<blank>,2374,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTAMIRA DO PARANA,PR,85280000,<blank>,<blank>,0,<blank>,5747,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTANEIRA,CE,63195000,<blank>,<blank>,0,<blank>,1137,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTANEIRA (MARINGA),PR,87108000,<blank>,<blank>,0,<blank>,5748,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTER DO CHAO (SANTAREM),PA,68109000,<blank>,<blank>,0,<blank>,4535,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTEROSA,MG,37145000,<blank>,<blank>,0,<blank>,2657,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTINHO,PE,55490000,<blank>,<blank>,0,<blank>,5147,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTINOPOLIS,SP,14350000,<blank>,<blank>,0,<blank>,8872,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE,RR,69350000,<blank>,<blank>,0,<blank>,7373,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE,RS,99430000,<blank>,<blank>,0,<blank>,7401,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE,SP,16310000,<blank>,<blank>,0,<blank>,8873,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE (CAPINZAL),SC,89666000,<blank>,<blank>,0,<blank>,8332,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE (CERRITO),RS,96399000,<blank>,<blank>,0,<blank>,12503,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE (COLORADO),PR,86695000,<blank>,<blank>,0,<blank>,5749,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE (PEDRO OSORIO),RS,96380000,<blank>,<blank>,0,<blank>,7402,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE (UMUARAMA),PR,87523200,<blank>,<blank>,0,<blank>,5750,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE DO IGUACU (CAPITAO LEONIDAS MARQUES),PR,85794000,<blank>,<blank>,0,<blank>,5751,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE DO MARANHAO,MA,65413000,<blank>,<blank>,0,<blank>,2375,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE DO PINDARE,MA,65398000,<blank>,<blank>,0,<blank>,2376,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALEGRE DOS PARECIS,RO,76952000,<blank>,<blank>,0,<blank>,7311,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ALVORADA (ORIZONA),GO,75283000,<blank>,<blank>,0,<blank>,2058,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO AMPARO (TELEMACO BORBA),PR,84277700,<blank>,<blank>,0,<blank>,5752,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ARAGUAIA,MT,78780000,<blank>,<blank>,0,<blank>,4281,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO BELA VISTA,SC,89730000,<blank>,<blank>,0,<blank>,8333,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO BELO (BOCAIUVA),MG,39394000,<blank>,<blank>,0,<blank>,3621,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO BOA VISTA,MT,78665000,<blank>,<blank>,0,<blank>,4282,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO BONITO (MUNDO NOVO),BA,44805000,<blank>,<blank>,0,<blank>,348,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO CALCADO (SAO JOSE DO CALCADO),ES,29475000,<blank>,<blank>,0,<blank>,1805,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO CALDEIRAO (SANTA TERESA),ES,29656000,<blank>,<blank>,0,<blank>,1806,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO CAPARAO,MG,36979000,<blank>,<blank>,0,<blank>,2658,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO CAPIM (AIMORES),MG,35210000,<blank>,<blank>,0,<blank>,2659,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO CASTELINHO (VARGEM ALTA),ES,29296000,<blank>,<blank>,0,<blank>,10111,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO COITE (POXOREU),MT,78803000,<blank>,<blank>,0,<blank>,4283,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO DA SERRA (CHAPECO),SC,89816300,<blank>,<blank>,0,<blank>,8334,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO DA UNIAO (IJUI),RS,98713000,<blank>,<blank>,0,<blank>,7403,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO DE SANTA HELENA (GOVERNADOR VALADARES),MG,35102000,<blank>,<blank>,0,<blank>,2660,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO DO AMPARO (TIBAGI),PR,84305000,<blank>,<blank>,0,<blank>,5753,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO DO RODRIGUES,RN,59507000,<blank>,<blank>,0,<blank>,7130,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO ERVAL NOVO (TRES PASSOS),RS,98610000,<blank>,<blank>,0,<blank>,12558,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO FELIZ,RS,95773000,<blank>,<blank>,0,<blank>,7404,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO GARCAS,MT,78770000,<blank>,<blank>,0,<blank>,4284,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO HORIZONTE,GO,76560000,<blank>,<blank>,0,<blank>,2059,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO JEQUITIBA,MG,36976000,<blank>,<blank>,0,<blank>,2661,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO JURUENA (COMODORO),MT,78318000,<blank>,<blank>,0,<blank>,4285,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO LINDO (IBIAPINA),CE,62362000,<blank>,<blank>,0,<blank>,12148,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO LONGA,PI,64360000,<blank>,<blank>,0,<blank>,5513,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO MARANHAO (CONGONHAS),MG,36417000,<blank>,<blank>,0,<blank>,2662,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO MUTUM PRETO (BAIXO GUANDU),ES,29737000,<blank>,<blank>,0,<blank>,1807,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO NORTE (MUNIZ FREIRE),ES,29387000,<blank>,<blank>,0,<blank>,14612,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO PARA (CASCAVEL),PR,85823950,<blank>,<blank>,0,<blank>,5754,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO PARAGUAI,MT,78410000,<blank>,<blank>,0,<blank>,4286,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
ALTO PARAISO,PR,87528000,<blank>,<blank>,0,<blank>,6812,0,<blank>,0,CidadeDeCEPUnico,Cidade De CEP Unico,Cidade De CEP Unico,<blank>,<blank>
